,LowCEI,HighCEI,LowCAR,HighCAR
2002-05-31,-0.07688614322928322,-0.09746811131332822,-0.07844599928673102,-0.07668019533270143
2002-06-30,0.12522719674763816,0.17777722025404707,0.13941277324343915,0.1342801253513639
2002-07-31,-0.03184675866770015,-0.01718071109938446,-0.04151100441856903,-0.030083599310291476
2002-08-31,0.018108973042475718,0.008370966523453705,0.007471715689162828,0.0020234722111334147
2002-09-30,-0.04717667266860426,-0.05269071388541424,-0.05953449840151459,-0.049214654564569194
2002-10-31,-0.05222034325499403,-0.04882101672678163,-0.05151085999643612,-0.05289228207590957
2002-11-30,-0.05852967837187584,-0.05074327857052041,-0.0657700707532517,-0.052423166546647804
2002-12-31,-0.042984374044643836,-0.04749221444264118,-0.06236365141029154,-0.04148201599705181
2003-01-31,0.09397240825245445,0.08541005334756613,0.10887457812222445,0.06598761840695233
2003-02-28,0.006555565872895297,0.005780340586522881,0.013508135758290019,0.008288285279436591
2003-03-31,0.0014782175501464323,0.0016457090880894754,-0.025408721221402475,-0.008636438201437224
2003-04-30,0.0032924099972484466,0.04098348261552687,-0.03951570147096073,0.01213891478729523
2003-05-31,0.041158675684518586,0.05950976976763811,0.0643750595468282,0.042815662701617185
2003-06-30,-0.04580109093363505,-0.07065737421308771,-0.07719917024183143,-0.06072887495247803
2003-07-31,-0.010255587772885488,0.013295518611567303,-0.023502210573851157,0.025433169996079474
2003-08-31,-0.03291957009342339,-0.038078712472629506,-0.022170843845539467,-0.052237138395105576
2003-09-30,-0.0367311597598039,-0.03486771283122847,-0.04575361384850729,-0.051289040520769213
2003-10-31,0.0035793290668322264,-0.02452399725511545,-0.060199832972544054,-0.03407036287366427
2003-11-30,0.03842608717073337,0.030770901549396656,0.026946997733368727,0.02954258277534505
2003-12-31,0.10088576665566507,0.015315380072283835,-0.02945582019761328,0.045755092481293946
2004-01-31,0.01599982647066156,0.05595591525397259,0.13262175212395677,0.04949542397631368
2004-02-29,0.08966979804068465,0.05763253768575782,0.10490675796022808,0.08392746220269376
2004-03-31,0.028151143335597872,0.03399680213494882,0.03828609384275383,0.023083079349506486
2004-04-30,-0.0958526329438556,-0.09074086485616184,-0.11240791997549227,-0.08299487170316489
2004-05-31,-0.0317271395602734,-0.009529743486731745,-0.019864030210616668,-0.006734744137984361
2004-06-30,-0.09226210383348621,-0.12344063221965429,-0.11119381167913989,-0.12362714260744223
2004-07-31,-0.03987193804830824,0.019347152497499076,-0.010146882055253714,-0.0086316240700397
2004-08-31,-0.028092226270121867,-0.03648415699816798,-0.02771862073483422,-0.0391109164128578
2004-09-30,0.07075292264526678,0.06671060935099682,0.06708303374953739,0.08093349400797978
2004-10-31,-0.06955674857448824,-0.04730103859188317,-0.036061158037776986,-0.062344354383431666
2004-11-30,0.012889896167877612,0.006402136690870197,0.037309097930783075,0.01811099493719981
2004-12-31,-0.05816323996974615,-0.05072085189615916,-0.0763974234189343,-0.0752945009303918
2005-01-31,-0.05882381223970756,-0.03290492838091008,-0.05619294897201221,-0.06124028825367711
2005-02-28,0.09607851790388366,0.10217060022124702,0.10725589548538972,0.10990488002994048
2005-03-31,-0.0932581934628407,-0.10086190572906062,-0.12750660663068425,-0.10323668687746967
2005-04-30,-0.036924480209623245,-0.026898660283684706,-0.06151475833045228,0.008767250521585668
2005-05-31,-0.08919278344717851,-0.07739941910845372,-0.03811973012977554,-0.059690072961013585
2005-06-30,0.006647972723903939,-0.014101637478030948,-0.012066649624319803,0.0257165466139484
2005-07-31,-0.010782354187986232,-0.003596280536863783,-0.0832772730286443,-0.020501668318005706
2005-08-31,0.07549254379910941,0.06520007764934,0.2047185028130427,0.09336627733689173
2005-09-30,-0.006931268058776752,-0.0034380844188647286,-0.00905376457583662,0.018018325372079813
2005-10-31,-0.070347696094197,-0.07608212835944994,-0.06588399206534101,-0.059658308672102756
2005-11-30,-0.013011528917356907,-0.009441633207965427,-0.002980743813020381,-0.0048147158885735175
2005-12-31,0.0576697365647052,0.09079140079760784,0.04041526706970999,0.058508164495454595
2006-01-31,0.058058349741617166,0.09108929210076289,0.11363727368806043,0.06911732271747506
2006-02-28,0.0352628470441434,0.04688949998420622,0.03862673838832298,0.05254598711562197
2006-03-31,0.021203389817987306,0.016963166792727247,-0.00015907339029630485,-0.002925021365139502
2006-04-30,0.043676511197699774,0.07320745093173775,0.11814263557667504,0.0778306970287026
2006-05-31,0.19633441655068418,0.17471214958261228,0.16094881292542174,0.20567092780647234
2006-06-30,0.014952880608393171,0.03807448829349247,0.000734336317659956,0.02216999638281525
2006-07-31,-0.05626344874896605,-0.09000051524149255,-0.06029977373672346,-0.059130311231625265
2006-08-31,0.03133477773495352,0.0637504223194656,0.05713660429331657,0.023096188167552878
2006-09-30,0.010541558963097941,0.06075211640177369,0.02448733988131835,0.05617995483999749
2006-10-31,0.025425216007099793,0.010333866458450247,0.012701494976803396,-0.0005245323399668544
2006-11-30,0.10235784757170774,0.1623553196205758,0.08580527434708674,0.11263306516353744
2006-12-31,0.08751070426308494,0.15701773105425754,0.09757483584780413,0.09305272724225477
2007-01-31,0.24906087564164614,0.1845963405663109,0.28044118535527596,0.23920499182321686
2007-02-28,0.15510666689272545,0.127255029176075,0.15255828915894565,0.09460526492069277
2007-03-31,0.11738529641323492,0.09663925038129895,0.11424535569606209,0.13921293559464787
2007-04-30,0.3879154738227446,0.2858232479564484,0.2750065773024517,0.28047319405557514
2007-05-31,0.05187434367503618,0.15109586595373758,0.1156025512113723,0.027498271949661257
2007-06-30,-0.17585784059288412,-0.043559304948738053,-0.11131259541376515,-0.1007307497996347
2007-07-31,0.21021487391738702,0.2459129456919289,0.17557987172826395,0.22391574187133356
2007-08-31,0.1447683639884274,0.17429849588672996,0.12443292723841637,0.1195773597900005
2007-09-30,0.14258978000533884,0.03772764402924933,0.01882092999539764,0.11081071096214123
2007-10-31,-0.09968571431544482,0.0351502821776708,-0.07235998868179927,-0.08545567937276444
2007-11-30,-0.14893593550405615,-0.18502682459468567,-0.1804174789808225,-0.11588732919825995
2007-12-31,0.20173768758082988,0.09061207294388329,0.17258288949143696,0.17010476116866458
2008-01-31,-0.09022601085496318,-0.14467667419414287,-0.11960321692603537,-0.10588789837565771
2008-02-29,0.07260932952580279,0.002383110298241453,0.03390834845852497,0.04353990976532218
2008-03-31,-0.23582980586496227,-0.18410574026480142,-0.248939008365745,-0.21116223057178474
2008-04-30,0.022341331225114613,0.05774328718486976,-0.04510628346392953,0.032069897453008256
2008-05-31,-0.016827383122177242,-0.11409823885401116,-0.09050288831316156,-0.05594220677973172
2008-06-30,-0.27055589713026573,-0.23518001222177498,-0.23345207040450588,-0.21777124595503294
2008-07-31,0.046804277793407234,0.008584304911946505,0.03836422939063677,-0.024170945407388844
2008-08-31,-0.20596898216578463,-0.15934615832451748,-0.20022131369013563,-0.2250732882932418
2008-09-30,0.008547225845617401,-0.05690373681027017,-0.02510377329274993,-0.06593936585355409
2008-10-31,-0.23685219914593758,-0.262299028521362,-0.29406441765627833,-0.3223491642853855
2008-11-30,0.16831162503164254,0.04049662024329548,0.17811888843813506,0.09166321063575511
2008-12-31,-0.014640178780276125,0.006020663792028813,0.02358898230441797,0.007917136222101329
2009-01-31,0.09711305870298692,0.14903502792968326,0.1374146149080886,0.08584198328784165
2009-02-28,0.08842366584110262,0.07221020780676146,0.06333066573569268,0.04313103155626008
